talla;la;ma;sa;lo;mo;so
61.2;-0.3833;6.1768;0.09136;-0.3521;6.3164;0.08301
61.3;-0.3833;6.2017;0.09136;-0.3521;6.3428;0.08298
61.4;-0.3833;6.2264;0.09136;-0.3521;6.3692;0.08295
61.5;-0.3833;6.2511;0.09136;-0.3521;6.3954;0.08292
61.6;-0.3833;6.2758;0.09136;-0.3521;6.4215;0.08290
61.7;-0.3833;6.3004;0.09136;-0.3521;6.4475;0.08287
61.8;-0.3833;6.3249;0.09135;-0.3521;6.4735;0.08284
61.9;-0.3833;6.3494;0.09135;-0.3521;6.4993;0.08281
62.0;-0.3833;6.3738;0.09135;-0.3521;6.5251;0.08279
62.1;-0.3833;6.3981;0.09135;-0.3521;6.5508;0.08276
62.2;-0.3833;6.4224;0.09134;-0.3521;6.5764;0.08273
62.3;-0.3833;6.4466;0.09134;-0.3521;6.6019;0.08271
62.4;-0.3833;6.4708;0.09134;-0.3521;6.6273;0.08268
62.5;-0.3833;6.4948;0.09133;-0.3521;6.6527;0.08266
62.6;-0.3833;6.5189;0.09133;-0.3521;6.6780;0.08264
62.7;-0.3833;6.5429;0.09133;-0.3521;6.7033;0.08261
62.8;-0.3833;6.5668;0.09132;-0.3521;6.7284;0.08259
62.9;-0.3833;6.5906;0.09132;-0.3521;6.7535;0.08257
63.0;-0.3833;6.6144;0.09131;-0.3521;6.7786;0.08255
63.1;-0.3833;6.6382;0.09131;-0.3521;6.8035;0.08253
63.2;-0.3833;6.6619;0.09130;-0.3521;6.8285;0.08251
63.3;-0.3833;6.6856;0.09130;-0.3521;6.8533;0.08249
63.4;-0.3833;6.7092;0.09129;-0.3521;6.8781;0.08247
63.5;-0.3833;6.7328;0.09129;-0.3521;6.9028;0.08245
63.6;-0.3833;6.7563;0.09128;-0.3521;6.9275;0.08243
63.7;-0.3833;6.7798;0.09128;-0.3521;6.9521;0.08241
63.8;-0.3833;6.8033;0.09127;-0.3521;6.9766;0.08240
63.9;-0.3833;6.8267;0.09127;-0.3521;7.0011;0.08238
64.0;-0.3833;6.8501;0.09126;-0.3521;7.0255;0.08236
64.1;-0.3833;6.8734;0.09125;-0.3521;7.0499;0.08235
